subject,run_number,Trialid,condition,choice_number,self_value,other_value,choice,self,other,choice_RT
1201,1,1,3,1,31,3,1,31,3,1203
1201,1,1,3,2,22,10,1,22,10,2211
1201,1,1,3,3,30,25,1,30,25,1451
1201,1,1,3,4,4,12,2,10,10,1863
1201,1,2,1,1,12,3,2,10,10,1534
1201,1,2,1,2,30,25,1,30,25,1471
1201,1,2,1,3,6,22,1,6,22,2035
1201,1,2,1,4,30,10,1,30,10,1781
1201,1,3,4,1,11,6,1,11,6,1614
1201,1,3,4,2,20,30,2,10,10,2059
1201,1,3,4,3,4,16,2,10,10,1939
1201,1,3,4,4,10,26,1,10,26,1854
1201,1,5,2,1,22,6,1,22,6,1462
1201,1,5,2,2,10,26,1,10,26,1437
1201,1,5,2,3,25,30,1,25,30,1305
1201,1,5,2,4,4,12,2,10,10,1274
1201,1,8,4,1,7,11,2,10,10,1356
1201,1,8,4,2,31,3,1,31,3,1077
1201,1,8,4,3,30,20,1,30,20,1487
1201,1,8,4,4,26,14,1,26,14,1361
1201,1,9,3,1,10,30,1,10,30,1413
1201,1,9,3,2,25,30,1,25,30,1210
1201,1,9,3,3,6,22,2,10,10,1461
1201,1,9,3,4,11,8,2,10,10,2025
1201,1,11,1,1,11,6,2,10,10,1114
1201,1,11,1,2,12,18,1,12,18,1140
1201,1,11,1,3,22,10,1,22,10,965
1201,1,11,1,4,4,28,2,10,10,1425
1201,1,13,2,1,30,10,1,30,10,984
1201,1,13,2,2,12,8,1,12,8,2031
1201,1,13,2,3,7,11,2,10,10,1316
1201,1,13,2,4,14,26,1,14,26,1295
1201,1,14,4,1,11,8,1,11,8,1838
1201,1,14,4,2,26,10,1,26,10,1026
1201,1,14,4,3,30,29,1,30,29,1327
1201,1,14,4,4,8,16,2,10,10,1931
1201,1,15,1,1,20,30,1,20,30,1540
1201,1,15,1,2,8,16,2,10,10,1649
1201,1,15,1,3,14,26,1,14,26,1464
1201,1,15,1,4,31,3,1,31,3,1669
1201,1,16,3,1,14,6,1,14,6,914
1201,1,16,3,2,20,30,1,20,30,1420
1201,1,16,3,3,2,18,2,10,10,1977
1201,1,16,3,4,12,22,1,12,22,1803
1201,1,18,2,1,22,6,1,22,6,2056
1201,1,18,2,2,6,22,2,10,10,1454
1201,1,18,2,3,26,10,1,26,10,906
1201,1,18,2,4,30,20,1,30,20,802
1201,1,19,4,1,4,16,2,10,10,1752
1201,1,19,4,2,12,3,1,12,3,1338
1201,1,19,4,3,10,22,1,10,22,1654
1201,1,19,4,4,30,15,1,30,15,981
1201,1,21,1,1,4,12,1,4,12,1210
1201,1,21,1,2,30,29,1,30,29,863
1201,1,21,1,3,14,6,1,14,6,1131
1201,1,21,1,4,25,30,1,25,30,1577
1201,1,22,2,1,4,16,2,10,10,936
1201,1,22,2,2,12,3,1,12,3,1193
1201,1,22,2,3,10,22,1,10,22,1575
